date,province,ine_code,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,source_name,source,comments
2021-06-01,Albacete,2,Castilla - La Mancha,17,0,0,0,7,0,0,9,737,0,12784,0,0,0,0,0,0,0,0,0,17,1,1,0,11911,1568,90,442,157640,0.0,5.71,467.52,4.44,0,0,190,101,17,14.4,17,14.4,0,0,0.0,0.0,0.3,0,2,0,0,14.4,120.5,0,0,
2021-06-01,Alicante/Alacant,3,Comunitat Valenciana,0,92,0,0,87,0,0,22,1180,0,60910,0,0,0,0,0,0,0,0,0,92,3,0,1,61272,5877,565,1168,654214,0.0,3.36,180.37,13.3,0,0,1511,630,0,0.0,92,90.0,2,0,0.2,1.0,0.9,0,6,0,0,91.4,231.0,0,0,
2021-06-01,Almería,4,Andalucía,0,0,0,0,89,0,0,22,982,49135,0,0,0,0,0,0,0,0,0,0,167,10,1,0,49019,4510,430,959,633564,7755.33,3.47,155.0,14.05,1401,727,0,0,101,89.7,0,0.0,0,0,0.0,0.0,0.7,0,3,0,0,106.4,221.1,0,0,
2021-06-01,Araba/Álava,1,País Vasco,0,0,0,0,63,0,0,18,1483,81549,0,0,0,0,0,0,0,0,0,0,112,3,0,0,79965,5572,636,1430,1240155,6575.71,1.45,119.58,5.08,0,855,0,0,209,123.5,0,0.0,1,0,0.0,0.0,0.6,0,4,0,0,126.1,0.0,0,0,
2021-06-01,Asturias,33,"Asturias, Principado de",0,0,0,0,164,0,0,47,0,87787,0,0,0,0,0,0,0,0,0,0,196,15,1,1,86859,7890,1029,1711,914678,9597.59,5.14,0.0,17.93,2298,1185,0,0,205,180.6,0,0.0,0,0,0.0,0.0,0.0,0,2,0,0,161.4,251.2,0,0,
2021-06-01,Ávila,5,Castilla y León,3,0,0,0,7,0,0,5,621,0,9841,0,0,0,0,0,0,0,0,0,3,1,0,0,8297,1231,118,430,88636,0.0,5.64,700.62,7.9,0,0,93,28,3,4.0,3,4.0,1,0,0.2,0.7,0.3,0,2,0,0,3.4,104.9,0,0,
2021-06-01,Badajoz,6,Extremadura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,1,45093,5611,318,1708,495761,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,3,0,0,70.7,0.0,0,0,
2021-06-01,"Balears, Illes",7,"Balears, Illes",0,0,0,0,47,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,54209,3750,648,818,716820,0.0,3.07,0.0,6.56,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,0,0,46.4,0.0,0,0,
2021-06-01,Barcelona,8,Cataluña,0,0,0,0,116,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,47200,4371,410,950,633564,0.0,2.68,0.0,18.31,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,10,0,0,98.3,0.0,0,0,
2021-06-01,Bizkaia,48,País Vasco,61,0,0,0,0,0,0,0,0,27630,0,0,0,0,0,0,0,0,0,0,60,0,0,0,27802,2589,214,721,331549,8333.61,0.0,0.0,0.0,1092,447,0,0,61,63.9,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,62.7,329.4,0,0,
2021-06-01,Burgos,9,Castilla y León,0,60,0,573,51,0,0,18,762,0,30005,0,0,0,0,0,0,0,0,0,57,5,0,0,30067,3385,378,763,316798,0.0,5.68,240.53,16.1,0,0,797,400,0,0.0,86,56.6,1,0,0.1,0.7,0.7,0,2,0,0,46.7,251.6,0,0,
2021-06-01,Cáceres,10,Extremadura,0,0,0,0,110,0,0,22,983,49838,0,0,0,0,0,0,0,0,0,0,117,10,4,0,49606,4545,436,959,633564,7866.29,3.47,155.15,17.36,1597,878,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.4,0,1,0,0,125.9,252.1,0,0,
2021-06-01,Cádiz,11,Andalucía,11,0,0,0,11,0,0,9,803,0,19145,0,0,0,0,0,0,0,0,0,7,1,0,0,18742,2095,245,543,160980,0.0,5.59,498.82,6.83,0,0,227,93,11,13.3,11,13.3,0,0,0.0,0.3,0.4,0,3,0,0,12.1,141.0,0,0,
2021-06-01,Cantabria,39,Cantabria,16,0,0,0,9,0,0,7,734,0,12633,0,0,0,0,0,0,0,0,0,10,1,1,0,11763,1557,86,441,157640,0.0,4.44,465.62,5.71,0,0,169,71,16,10.1,16,10.1,1,0,0.1,0.3,0.3,0,2,0,0,8.1,107.2,0,0,
2021-06-01,Castellón/Castelló,12,Comunitat Valenciana,11,0,0,0,11,0,0,9,803,0,19145,0,0,0,0,0,0,0,0,0,7,1,0,0,18742,2095,245,543,160980,0.0,5.59,498.82,6.83,0,0,227,93,11,13.3,11,13.3,0,0,0.0,0.3,0.4,0,3,0,0,12.1,141.0,0,0,
2021-06-01,Ceuta,51,Ceuta,40,37,3,0,69,0,0,36,1961,51610,48815,0,0,0,0,0,0,0,0,0,40,3,1,0,51612,8446,741,1959,1022800,5045.95,3.52,191.73,6.75,729,341,659,309,40,48.7,37,44.1,0,0,0.0,0.0,0.4,0,3,0,0,48.7,64.4,0,0,
2021-06-01,Ciudad Real,13,Castilla - La Mancha,0,65,0,0,31,0,0,12,1187,0,62099,0,0,0,0,0,0,0,0,0,70,3,0,0,62505,5931,570,1175,654214,0.0,1.83,181.44,4.74,0,0,871,471,0,0.0,65,67.3,1,0,0.1,1.3,0.7,0,5,0,0,69.4,133.1,0,0,
2021-06-01,Córdoba,14,Andalucía,0,0,0,0,1573,113509,118,441,16947,0,721009,0,0,0,0,0,0,0,0,0,1110,58,7,6,709374,99912,7602,15272,6663394,0.0,6.62,254.33,23.61,0,0,15783,7276,0,0.0,1136,1039.4,5,0,0.0,11.3,8.9,0,62,0,0,1019.4,236.9,0,0,
