date,province,ine_code,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,source_name,source,comments
2021-11-01,Albacete,2,Castilla - La Mancha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,45107,5612,319,1708,495761,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,3,0,0,68.7,0.0,0,0,
2021-11-01,Alicante/Alacant,3,Comunitat Valenciana,11,0,0,0,49,0,0,18,2793,146484,0,0,0,0,0,0,0,0,0,0,42,0,0,1,146038,12755,1322,2790,1858683,7881.06,0.97,150.27,2.64,666,341,0,0,11,48.7,0,0.0,6,0,0.0,0.0,2.2,0,17,0,0,45.4,35.8,0,0,
2021-11-01,Almería,4,Andalucía,88,0,0,0,0,0,0,0,0,68168,0,0,0,0,0,0,0,0,0,0,89,0,0,1,68949,2564,263,1239,723576,9420.99,0.0,0.0,0.0,1486,781,0,0,88,111.6,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,107.0,205.4,0,0,
2021-11-01,Araba/Álava,1,País Vasco,72,0,0,0,33,0,0,23,1935,0,51440,0,0,0,0,0,0,0,0,0,90,3,2,0,51103,6303,558,1522,519546,0.0,4.43,372.44,6.35,0,0,625,374,72,53.4,72,53.4,1,0,0.1,0.3,0.9,0,6,0,0,57.6,120.3,0,0,
2021-11-01,Asturias,33,"Asturias, Principado de",23,0,0,0,0,0,0,0,0,28098,0,0,0,0,0,0,0,0,0,0,22,0,0,1,28249,2589,215,729,331549,8474.77,0.0,0.0,0.0,529,198,0,0,23,28.3,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,27.0,159.6,0,0,
2021-11-01,Ávila,5,Castilla y León,0,16,0,0,11,0,0,7,885,0,29069,0,0,0,0,0,0,0,0,0,18,0,0,0,28169,3366,398,838,388167,0.0,1.8,227.99,2.83,0,0,348,164,0,0.0,16,26.5,0,0,0.0,0.0,0.0,0,0,0,0,21.0,89.7,0,0,
2021-11-01,Badajoz,6,Extremadura,7,0,0,0,21,0,0,5,724,0,13435,0,0,0,0,0,0,0,0,0,10,2,0,1,12794,1799,139,526,172539,0.0,2.9,419.62,12.17,0,0,194,101,7,14.4,7,14.4,0,0,0.0,0.0,0.3,0,2,0,0,12.3,112.4,0,0,
2021-11-01,"Balears, Illes",7,"Balears, Illes",9,0,0,0,10,0,0,7,733,0,12617,0,0,0,0,0,0,0,0,0,12,0,1,0,11753,1556,85,441,157640,0.0,4.44,464.98,6.34,0,0,173,70,9,10.0,9,10.0,0,0,0.0,0.0,0.1,0,1,0,0,8.9,109.7,0,0,
2021-11-01,Barcelona,8,Cataluña,0,23,0,442,0,0,0,17,767,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,30326,3421,382,768,316798,0.0,5.37,242.11,0.0,0,0,0,0,0,0.0,23,35.7,0,0,0.0,0.3,0.7,0,5,0,0,35.7,0.0,0,0,
2021-11-01,Bizkaia,48,País Vasco,9,0,0,0,10,0,0,5,858,0,24821,0,0,0,0,0,0,0,0,0,8,2,1,0,25225,2543,214,865,394151,0.0,1.27,217.68,2.54,0,0,203,90,9,12.9,9,12.9,0,0,0.0,0.0,0.1,0,1,0,0,12.6,51.5,0,0,
2021-11-01,Burgos,9,Castilla y León,0,0,0,0,162,0,0,48,1756,88157,0,0,0,0,0,0,0,0,0,0,170,9,1,2,87167,7913,1033,1713,914678,9638.04,5.25,191.98,17.71,2210,1132,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.4,0,4,0,0,155.7,241.6,0,0,
2021-11-01,Cáceres,10,Extremadura,0,0,0,0,102,0,0,18,1162,57273,0,0,0,0,0,0,0,0,0,0,45,4,2,0,54397,6254,987,1102,1119596,5115.51,1.61,103.79,9.11,957,490,0,0,63,70.0,63,70.0,0,0,0.0,0.3,0.1,0,1,0,0,63.6,85.5,0,0,
2021-11-01,Cádiz,11,Andalucía,0,0,0,0,72,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,91,4,1,1,52209,4468,558,952,782979,0.0,3.19,0.0,9.2,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,4,0,0,97.1,0.0,0,0,
2021-11-01,Cantabria,39,Cantabria,0,0,0,0,75,0,0,31,953,51943,0,0,0,0,0,0,0,0,0,0,67,4,0,1,51596,4444,554,951,782979,6634.02,3.96,121.71,9.58,1040,505,0,0,0,0.0,0,0.0,2,0,0.0,0.0,0.5,0,4,0,0,70.3,132.8,0,0,
2021-11-01,Castellón/Castelló,12,Comunitat Valenciana,0,0,0,0,60,0,0,14,609,38919,0,0,0,0,0,0,0,0,0,0,73,3,0,1,42179,3912,499,647,942665,4128.61,1.49,64.6,6.36,952,461,0,0,68,65.9,68,65.9,0,0,0.0,0.3,0.6,0,4,0,0,69.4,101.0,0,0,
2021-11-01,Ceuta,51,Ceuta,0,0,0,0,64,0,0,5,377,30547,0,0,0,0,0,0,0,0,0,0,138,1,0,1,30598,2220,161,379,521870,5853.37,0.96,72.24,12.26,1354,678,0,0,127,93.0,0,0.0,0,0,0.0,0.3,0.9,0,3,0,0,98.9,259.5,0,0,
2021-11-01,Ciudad Real,13,Castilla - La Mancha,6,0,0,230,17,1330,1330,1,415,13606,0,0,0,0,0,0,0,0,0,0,5,1,1,0,13482,1424,124,414,134137,10143.36,0.75,309.39,12.67,112,42,0,0,6,6.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,5.9,83.5,0,0,
