date,province,ine_code,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,source_name,source,comments
2021-05-01,Albacete,2,Castilla - La Mancha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,27553,3319,385,836,388167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,
2021-05-01,Alicante/Alacant,3,Comunitat Valenciana,82,0,0,0,0,0,0,0,2787,146448,0,0,0,0,0,0,0,0,0,0,25,1,0,0,145984,12754,1322,2789,1858683,7879.13,0,149.94,0,688,364,0,0,82,52,0,0,2,0,0.1,2.7,1.9,0,14,0,0,47.1,37,0,0,No hay más datos
2021-05-01,Almería,4,Andalucía,0,0,0,0,0,0,0,0,805,53237,0,0,0,0,0,0,0,0,0,0,46,7,2,2,53023,3643,631,798,716820,7426.83,0,112.3,0,1708,742,0,0,99,122.1,0,0,1,0,0.1,1,1.3,0,8,0,0,92.6,238.3,0,0,0
2021-05-01,Araba/Álava,1,País Vasco,75,0,0,0,0,0,0,0,725,27489,0,0,0,0,0,0,0,0,0,0,75,6,0,0,27664,2587,214,721,331549,8291.08,0,218.67,0,1237,561,0,0,75,80.1,0,0,0,0,0,0,0.9,0,6,0,0,78.1,373.1,Open Data Euskadi;Open Data Euskadi,https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx,"Indica ""pruebas diagnósticas"". 4 casos de otras comunidades autónomas u otras procedencias"
2021-05-01,Asturias,33,"Asturias, Principado de",79,76,3,0,143,0,0,53,1951,50881,48156,0,0,0,0,0,0,0,0,0,79,10,1,0,50883,8368,730,1949,1022800,4974.68,5.18,190.75,13.98,1453,630,1370,601,79,90,76,85.9,0,0,0,0.7,0.4,0,3,0,0,90,133.9,Dirección General de Salud del Principado de Asturias,https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/;https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/_w_0ecb484e/DATOS/TABLAS_RESUMEN/asturias_resumen.csv,0
2021-05-01,Ávila,5,Castilla y León,19,0,0,0,10,0,0,8,730,0,12483,0,0,0,0,0,0,0,0,0,6,2,0,0,11620,1541,80,440,157640,0,5.07,463.08,6.34,0,0,199,104,19,14.9,19,14.9,0,0,0,0.3,0.1,0,1,0,0,14.1,126.2,0,0,
2021-05-01,Badajoz,6,Extremadura,39,0,0,0,34,0,0,5,903,0,49737,0,0,0,0,0,0,0,0,0,33,3,1,1,48664,3390,310,916,673559,0,0.74,134.06,5.05,0,0,764,340,39,48.6,39,48.6,1,0,0.1,0.3,0.4,0,3,0,0,48,113.4,0,0,
2021-05-01,"Balears, Illes",7,"Balears, Illes",0,66,0,0,41,0,0,24,821,59149,0,0,0,0,0,0,0,0,0,0,60,5,2,0,59423,4581,726,834,1149460,5145.81,2.09,71.42,3.57,731,400,725,390,61,55.9,66,55.7,0,0,0,0.3,2.4,0,16,0,0,59.7,63.1,Conselleria de Salut i Consum - Govern Illes Balears,https://www.caib.es/sites/covid-19/es/situacion_sanitaria_covid-19/,
2021-05-01,Barcelona,8,Cataluña,0,222,0,0,1061,0,0,277,17706,476768,441065,0,0,0,0,0,0,0,0,0,386,34,7,3,432309,34673,2868,11107,5664579,8416.65,4.89,312.57,18.73,15393,7450,14781,7132,433,1064.3,407,1018.9,6,0,0,9.7,9.7,0,68,0,0,1180.7,260.9,Transparencia Catalunya,https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47,0
2021-05-01,Bizkaia,48,País Vasco,298,0,0,0,0,0,0,0,2317,94399,0,0,0,0,0,0,0,0,0,0,290,30,2,5,94634,10287,899,2404,1152651,8189.73,0,201.01,0,5223,2551,0,0,298,364.4,0,0,0,0,0,0,3.1,0,22,0,0,359.3,453.1,Open Data Euskadi;Open Data Euskadi,https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx,"Indica ""pruebas diagnósticas"". 4 casos de otras comunidades autónomas u otras procedencias"
2021-05-01,Burgos,9,Castilla y León,67,0,0,0,71,0,0,17,1363,0,34897,0,0,0,0,0,0,0,0,0,55,7,0,0,33343,3895,356,812,356958,0,4.76,381.84,19.89,0,0,1131,614,67,87.7,67,87.7,0,0,0,1,0.7,0,5,0,0,85,316.8,0,0,
2021-05-01,Cáceres,10,Extremadura,25,0,0,0,28,0,0,9,853,0,24323,0,0,0,0,0,0,0,0,0,25,0,0,0,24731,2516,204,860,394151,0,2.28,216.41,7.1,0,0,406,223,25,31.9,25,31.9,0,0,0,0,0.3,0,2,0,0,32,103,0,0,
2021-05-01,Cádiz,11,Andalucía,0,0,0,0,0,0,0,0,1445,78850,0,0,0,0,0,0,0,0,0,0,72,11,3,2,77233,5423,619,1408,1240155,6358.08,0,116.52,0,2070,886,0,0,144,139.7,0,0,2,0,0.1,2.7,2.9,0,14,0,0,108.1,166.9,0,0,0
2021-05-01,Cantabria,39,Cantabria,0,74,0,0,107,0,0,22,561,30106,28736,0,0,0,0,0,0,0,0,0,74,13,3,0,28955,3105,434,557,581078,5181.06,3.79,96.54,18.41,1487,709,1495,714,74,101.3,74,102,0,0,0,0,0.3,0,2,0,0,101.4,257.3,Servicio Cántabro de Salud,https://serviweb.scsalud.es:10443/ficheros/COVID19_historico.csv;https://www.scsalud.es/coronavirus,0
2021-05-01,Castellón/Castelló,12,Comunitat Valenciana,31,0,0,0,0,0,0,0,795,40300,0,0,0,0,0,0,0,0,0,0,29,1,0,1,39986,3448,424,792,579962,6948.73,0,137.08,0,496,234,0,0,31,33.4,0,0,1,0,0.1,0.3,0.7,0,4,0,0,31.7,85.5,0,0,No hay más datos
