date,province,ine_code,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,source_name,source,comments
2021-10-01,Albacete,2,Castilla - La Mancha,35,0,0,0,27,0,0,6,854,0,24407,0,0,0,0,0,0,0,0,0,35,2,0,1,24817,2522,205,861,394151,0.0,1.52,216.67,6.85,0,0,418,244,35,34.9,35,34.9,1,0,0.1,0.3,0.1,0,1,0,0,35.1,106.1,0,0,
2021-10-01,Alicante/Alacant,3,Comunitat Valenciana,0,20,0,0,31,0,0,14,840,60025,0,0,0,0,0,0,0,0,0,0,44,4,0,0,60308,4631,732,839,1149460,5222.02,1.22,73.08,2.7,487,221,440,205,0,0.0,20,29.3,0,0,0.0,0.0,0.9,0,6,0,0,35.3,38.3,0,0,
2021-10-01,Almería,4,Andalucía,70,0,109501,0,67,0,0,26,1597,111564,0,0,0,0,0,0,0,0,0,0,79,7,0,0,111841,9070,1187,1594,1493898,7467.98,1.74,106.9,4.48,904,461,0,0,70,65.9,0,0.0,1,0,0.1,0.3,0.1,0,1,0,0,69.4,60.5,0,0,
2021-10-01,Araba/Álava,1,País Vasco,0,35,0,0,83,0,0,37,1294,52923,51447,0,0,0,0,0,0,0,0,0,48,0,0,0,50479,2269,221,1133,804664,6577.03,4.6,160.81,10.31,878,453,860,444,57,64.7,57,63.4,0,0,0.0,0.3,0.4,0,3,0,0,67.4,106.9,0,0,
2021-10-01,Asturias,33,"Asturias, Principado de",0,0,0,0,13,0,0,3,213,12496,0,0,0,0,0,0,0,0,0,0,25,1,0,0,12306,1160,143,218,329587,3791.41,0.91,64.63,3.94,204,109,0,0,14,15.6,14,15.6,0,0,0.0,0.0,0.0,0,0,0,0,17.9,61.9,0,0,
2021-10-01,Ávila,5,Castilla y León,0,18,0,0,9,0,0,2,540,0,19275,0,0,0,0,0,0,0,0,0,25,0,0,0,20420,2500,143,558,196329,0.0,1.02,275.05,4.58,0,0,302,140,0,0.0,18,21.0,0,0,0.0,0.7,0.4,0,2,0,0,17.7,153.8,0,0,
2021-10-01,Badajoz,6,Extremadura,11,0,0,0,8,0,0,5,623,0,9855,0,0,0,0,0,0,0,0,0,12,0,0,0,8320,1232,118,431,88636,0.0,5.64,702.87,9.03,0,0,87,31,11,4.4,11,4.4,2,0,0.3,1.0,0.6,0,4,0,0,5.6,98.2,0,0,
2021-10-01,"Balears, Illes",7,"Balears, Illes",0,69,0,0,107,0,0,28,562,30438,29069,0,0,0,0,0,0,0,0,0,69,9,2,0,29288,3154,444,558,581078,5238.2,4.82,96.72,18.41,1394,650,1400,654,69,92.9,69,93.4,0,0,0.0,0.3,0.1,0,1,0,0,93.3,240.9,0,0,
2021-10-01,Barcelona,8,Cataluña,20,0,0,0,0,0,0,0,0,28149,0,0,0,0,0,0,0,0,0,0,18,0,0,0,28298,2589,215,730,331549,8490.15,0.0,0.0,0.0,453,193,0,0,20,27.6,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,26.4,136.6,0,0,
2021-10-01,Bizkaia,48,País Vasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,20628,2512,145,558,196329,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,11.1,0.0,0,0,
2021-10-01,Burgos,9,Castilla y León,26,0,0,0,43,0,0,19,1384,0,36223,0,0,0,0,0,0,0,0,0,44,5,0,1,34658,4013,373,826,356958,0.0,5.32,387.72,12.05,0,0,723,361,26,51.6,26,51.6,1,0,0.1,1.0,1.0,0,7,0,0,50.7,202.5,0,0,
2021-10-01,Cáceres,10,Extremadura,146,0,0,4969,303,9420,9420,64,2541,88874,0,0,0,0,0,0,0,0,0,0,143,12,0,2,88013,9479,904,2549,964693,9212.67,6.63,263.4,31.41,3311,1520,0,0,146,217.1,0,0.0,2,0,0.1,2.3,1.9,0,13,0,0,214.9,343.2,0,0,
2021-10-01,Cádiz,11,Andalucía,6,0,0,0,9,0,0,3,725,0,13487,0,0,0,0,0,0,0,0,0,6,0,0,0,12840,1802,139,526,172539,0.0,1.74,420.19,5.22,0,0,163,62,6,8.9,6,8.9,0,0,0.0,0.0,0.1,0,1,0,0,8.9,94.5,0,0,
2021-10-01,Cantabria,39,Cantabria,115,0,0,3329,199,9697,9697,50,2584,91390,0,0,0,0,0,0,0,0,0,0,113,11,1,1,90523,9737,938,2593,964693,9473.48,5.18,267.86,20.63,1952,901,0,0,115,128.7,0,0.0,0,0,0.0,0.7,1.4,0,10,0,0,128.0,202.3,0,0,
2021-10-01,Castellón/Castelló,12,Comunitat Valenciana,52,47,5,0,83,0,0,37,1961,51515,48728,0,0,0,0,0,0,0,0,0,52,4,0,0,51517,8442,740,1959,1022800,5036.66,3.62,191.73,8.11,787,354,719,319,52,50.6,47,45.6,0,0,0.0,0.7,1.1,0,8,0,0,50.6,70.3,0,0,
2021-10-01,Ceuta,51,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,25429,1557,106,618,257762,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,32.1,0.0,0,0,
2021-10-01,Ciudad Real,13,Castilla - La Mancha,50,0,0,0,31,0,0,4,904,0,50122,0,0,0,0,0,0,0,0,0,47,2,1,0,49050,3424,315,917,673559,0.0,0.59,134.21,4.6,0,0,540,254,50,36.3,50,36.3,0,0,0.0,0.0,0.0,0,0,0,0,36.3,80.2,0,0,
2021-10-01,Córdoba,14,Andalucía,0,0,0,0,0,0,0,0,1632,97683,0,0,0,0,0,0,0,0,0,0,109,9,1,0,95787,7799,738,1612,1661785,5878.2,0.0,98.21,0.0,2454,1292,0,0,166,188.2,0,0.0,3,0,0.2,1.3,1.4,0,10,0,0,184.6,147.7,0,0,
2021-10-01,"Coruña, A",15,Galicia,0,3,0,0,46,0,0,10,803,44041,42556,0,0,0,0,0,0,0,0,0,10,0,0,0,42898,1135,113,624,434930,10126.0,2.3,184.63,10.58,441,169,393,155,10,24.1,9,22.1,0,0,0.0,0.3,0.1,0,1,0,0,28.1,90.4,0,0,
