date,province,ine_code,ccaa,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,source_name,source,comments
2021-08-01,Albacete,2,Castilla - La Mancha,0,102,0,0,37,0,0,17,1722,0,46636,0,0,0,0,0,0,0,0,0,28,4,1,0,46106,5664,322,1715,495761,0.0,3.43,347.34,7.46,0,0,583,278,0,0.0,102,43.9,1,0,0.0,0.0,0.7,0,5,0,0,40.1,117.6,0,0,
2021-08-01,Alicante/Alacant,3,Comunitat Valenciana,11,0,0,0,8,0,0,8,739,0,12813,0,0,0,0,0,0,0,0,0,9,0,0,0,11932,1570,90,444,157640,0.0,5.07,468.79,5.07,0,0,196,105,11,15.0,11,15.0,2,0,0.3,0.7,0.3,0,2,0,0,12.7,124.3,0,0,
2021-08-01,Almería,4,Andalucía,0,0,0,0,159,0,0,52,1753,87374,0,0,0,0,0,0,0,0,0,0,218,15,4,1,86482,7863,1027,1709,914678,9552.43,5.69,191.65,17.38,2396,1164,0,0,214,146.6,0,0.0,0,0,0.0,0.7,0.9,0,6,0,0,167.1,262.0,0,0,
2021-08-01,Araba/Álava,1,País Vasco,0,7,0,0,57,0,0,12,801,43854,42383,0,0,0,0,0,0,0,0,0,13,1,0,0,42684,1133,113,624,434930,10083.0,2.76,184.17,13.11,571,277,532,243,17,39.6,17,34.7,0,0,0.0,0.3,0.1,0,1,0,0,42.4,122.3,0,0,
2021-08-01,Asturias,33,"Asturias, Principado de",38,0,0,0,39,0,0,23,1937,0,52028,0,0,0,0,0,0,0,0,0,23,1,1,0,51627,6340,565,1522,519546,0.0,4.43,372.83,7.51,0,0,860,465,38,66.4,38,66.4,0,0,0.0,0.0,0.3,0,2,0,0,64.6,165.5,0,0,
2021-08-01,Ávila,5,Castilla y León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,40272,3468,427,795,579962,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,3,0,0,17.4,0.0,0,0,
2021-08-01,Badajoz,6,Extremadura,0,0,0,0,1996,112470,178,480,16870,0,712471,0,0,0,0,0,0,0,0,0,1412,112,14,5,700982,99263,7535,15217,6663394,0.0,7.2,253.17,29.95,0,0,18786,9106,0,0.0,1430,1300.9,21,0,0.1,16.3,14.8,0,105,0,0,1286.4,281.9,0,0,
2021-08-01,"Balears, Illes",7,"Balears, Illes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20355,2494,143,557,196329,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,20.7,0.0,0,0,
2021-08-01,Barcelona,8,Cataluña,0,75,0,0,542,0,0,182,17849,491036,453228,0,0,0,0,0,0,0,0,0,154,14,4,0,446671,35223,2920,11179,5664579,8668.53,3.21,315.1,9.57,8355,4099,6722,3170,272,585.6,182,452.9,1,0,0.0,2.7,4.4,0,31,0,0,552.0,118.7,0,0,
2021-08-01,Bizkaia,48,País Vasco,0,0,0,0,0,0,0,0,938,50175,0,0,0,0,0,0,0,0,0,0,47,7,0,0,49891,4304,528,936,782979,6408.22,0.0,119.8,0.0,1597,779,0,0,121,117.9,0,0.0,0,0,0.0,0.3,1.1,0,6,0,0,96.9,204.0,0,0,
